LEM: log-linear and event history analysis with missing data.
Developed by Jeroen Vermunt (c), Tilburg University, The Netherlands.
Version 1.0 (September 18, 1997).


*** INPUT ***

  lat 2
man 8
dim 2 2 2 2 2 2 2 2 2 3
lab Y Z A B C D E S T G
mod SG T|SG {SG ST GT} Y|SGT {SGT STY GY} 
      Z|SGTY {SGTY TZ GZ YZ} A|Y B|Y E|Y C|Z D|Z
ite 10000
dat [0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 4 0 0 1 0 1 1 0 0 2 1 0 6 3 1 3 1 1 4 4 1 1 1 0 0 0 1 0 2 1 0 0 0 0 0 0 2 3 0 0 2 2 0 3 2 0 4 1 0 1 1 0 1 1 2 1 0 0 0 0 4 7 4 0 4 2 4 2 0 0 3 2 0 1 0 8 1 2 1 0 0 5 3 7 0 1 0 3 5 3 0 0 1 1 2 2 2 0 1 9 4 2 8 3 0 12 6 1 10 3 1 6 2 1 7 3 1 11 6 3 0 1 0 2 10 13 3 2 2 8 21 47 0 3 1 1 11 10 2 1 5 4 13 17 1 1 2 9 7 7 3 3 0 7 11 8 1 4 0 3 7 5 1 9 1 3 6 4 0 0 0 1 0 1 0 0 0 1 0 0 1 3 2 0 0 2 0 3 0 0 0 1 2 1 0 0 0 0 2 1 0 1 0 1 11 6 5 2 4 0 13 7 4 1 1 1 1 1 0 0 0 1 1 0 0 0 0 3 1 5 10 1 0 5 0 2 4 1 4 5 3 2 0 0 1 0 2 0 2 0 0 0 10 17 4 0 3 1 5 7 4 3 5 4 0 0 0 3 0 1 0 2 0 4 2 4 1 3 0 0 2 1 1 1 3 2 0 2 2 1 0 7 0 3 6 0 1 8 4 1 13 7 1 10 4 3 9 8 6 4 6 9 0 1 0 3 4 6 4 0 6 6 4 15 5 7 4 2 7 8 2 6 9 3 15 24 6 1 1 3 4 3 3 4 4 7 5 5 14 8 6 6 9 5 7 6 8 6 17 4]
see 525



*** STATISTICS ***

  Number of iterations = 147
  Converge criterion   = 0.0000009362
  Seed random values   = 525

  X-squared            = 418.1363 (0.0097)
  L-squared            = 424.9414 (0.0051)
  Cressie-Read         = 400.4558 (0.0412)
  Dissimilarity index  = 0.2048
  Degrees of freedom   = 353
  Log-likelihood       = -6233.89059
  Number of parameters = 30 (+1)
  Sample size          = 1156.0
  BIC(L-squared)       = -2064.6692
  AIC(L-squared)       = -281.0586
  BIC(log-likelihood)  = 12679.3628
  AIC(log-likelihood)  = 12527.7812

  Eigenvalues information matrix
    1367.8063  1171.5172  1169.9164  1108.3363  1103.6571  1077.6489
    1013.0457   955.1705   869.3794   866.9755   732.6898   649.9594
     466.2968   445.6879   409.4449   406.8289   381.9023   381.2144
     370.9612   321.9096   253.0966   225.7364   174.6929   143.2064
      79.6146    75.5226    33.8849    29.9933    25.5597     3.8115




*** FREQUENCIES ***

  A B C D E S T G     observed  estimated  std. res.
  1 1 2 1 1 1 1 2       0.000      0.368     -0.607
  1 1 2 1 1 1 1 3       1.000      0.371      1.032
  1 1 2 1 1 1 2 1       0.000      0.214     -0.462
  1 1 2 1 1 1 2 2       2.000      0.629      1.729
  1 1 2 1 1 1 2 3       1.000      0.766      0.268
  1 1 2 1 1 2 1 1       0.000      0.156     -0.395
  1 1 2 1 1 2 1 2       0.000      0.365     -0.604
  1 1 2 1 1 2 1 3       0.000      0.489     -0.699
  1 1 2 1 1 2 2 1       0.000      0.277     -0.527
  1 1 2 1 1 2 2 2       0.000      0.877     -0.936
  1 1 2 1 1 2 2 3       0.000      1.458     -1.208
  1 1 2 1 2 1 1 1       2.000      0.918      1.129
  1 1 2 1 2 1 1 2       3.000      2.124      0.601
  1 1 2 1 2 1 1 3       0.000      2.139     -1.463
  1 1 2 1 2 1 2 1       0.000      0.282     -0.531
  1 1 2 1 2 1 2 2       2.000      1.647      0.275
  1 1 2 1 2 1 2 3       2.000      1.958      0.030
  1 1 2 1 2 2 1 1       0.000      0.561     -0.749
  1 1 2 1 2 2 1 2       3.000      1.742      0.953
  1 1 2 1 2 2 1 3       2.000      2.319     -0.209
  1 1 2 1 2 2 2 1       0.000      0.302     -0.549
  1 1 2 1 2 2 2 2       4.000      1.857      1.573
  1 1 2 1 2 2 2 3       1.000      3.010     -1.158
  1 1 2 2 1 1 1 1       0.000      0.802     -0.896
  1 1 2 2 1 1 1 2       1.000      0.618      0.486
  1 1 2 2 1 1 1 3       1.000      0.276      1.376
  1 1 2 2 1 1 2 1       0.000      0.424     -0.651
  1 1 2 2 1 1 2 2       1.000      0.475      0.763
  1 1 2 2 1 1 2 3       1.000      0.333      1.155
  1 1 2 2 1 2 1 1       2.000      0.607      1.787
  1 1 2 2 1 2 1 2       1.000      0.540      0.627
  1 1 2 2 1 2 1 3       0.000      0.331     -0.575
  1 1 2 2 1 2 2 1       0.000      0.520     -0.721
  1 1 2 2 1 2 2 2       0.000      0.606     -0.778
  1 1 2 2 1 2 2 3       0.000      0.606     -0.779
  1 1 2 2 2 1 1 1       4.000      4.609     -0.284
  1 1 2 2 2 1 1 2       7.000      3.587      1.802
  1 1 2 2 2 1 1 3       4.000      1.601      1.895
  1 1 2 2 2 1 2 1       0.000      0.895     -0.946
  1 1 2 2 2 1 2 2       4.000      1.767      1.679
  1 1 2 2 2 1 2 3       2.000      1.046      0.932
  1 1 2 2 2 2 1 1       4.000      2.717      0.778
  1 1 2 2 2 2 1 2       2.000      2.900     -0.529
  1 1 2 2 2 2 1 3       0.000      1.716     -1.310
  1 1 2 2 2 2 2 1       0.000      0.879     -0.938
  1 1 2 2 2 2 2 2       3.000      1.921      0.779
  1 1 2 2 2 2 2 3       2.000      1.571      0.342
  1 2 1 1 1 1 1 1       0.000      0.227     -0.476
  1 2 1 1 1 1 1 2       1.000      0.177      1.953
  1 2 1 1 1 1 1 3       0.000      0.117     -0.343
  1 2 1 1 1 1 2 1       8.000      1.978      4.283
  1 2 1 1 1 1 2 2       1.000      2.246     -0.831
  1 2 1 1 1 1 2 3       2.000      2.467     -0.297
  1 2 1 1 1 2 1 1       1.000      1.003     -0.003
  1 2 1 1 1 2 1 2       0.000      0.578     -0.760
  1 2 1 1 1 2 1 3       0.000      0.625     -0.790
  1 2 1 1 1 2 2 1       5.000      2.688      1.410
  1 2 1 1 1 2 2 2       3.000      3.577     -0.305
  1 2 1 1 1 2 2 3       7.000      5.357      0.710
  1 2 1 1 2 1 1 1       0.000      0.934     -0.966
  1 2 1 1 2 1 1 2       1.000      0.896      0.109
  1 2 1 1 2 1 1 3       0.000      0.564     -0.751
  1 2 1 1 2 1 2 1       3.000      1.271      1.533
  1 2 1 1 2 1 2 2       5.000      1.717      2.506
  1 2 1 1 2 1 2 3       3.000      1.768      0.927
  1 2 1 1 2 2 1 1       0.000      1.038     -1.019
  1 2 1 1 2 2 1 2       0.000      0.970     -0.985
  1 2 1 1 2 2 1 3       1.000      0.885      0.122
  1 2 1 1 2 2 2 1       1.000      1.667     -0.517
  1 2 1 1 2 2 2 2       2.000      2.507     -0.320
  1 2 1 1 2 2 2 3       2.000      3.584     -0.837
  1 2 1 2 1 1 1 1       2.000      1.464      0.443
  1 2 1 2 1 1 1 2       0.000      0.787     -0.887
  1 2 1 2 1 1 1 3       1.000      0.271      1.399
  1 2 1 2 1 1 2 1       9.000      9.435     -0.142
  1 2 1 2 1 1 2 2       4.000      3.566      0.230
  1 2 1 2 1 1 2 3       2.000      1.756      0.184
  1 2 1 2 1 2 1 1       8.000      5.715      0.956
  1 2 1 2 1 2 1 2       3.000      1.578      1.132
  1 2 1 2 1 2 1 3       0.000      0.758     -0.871
  1 2 1 2 1 2 2 1      12.000     12.804     -0.225
  1 2 1 2 1 2 2 2       6.000      5.577      0.179
  1 2 1 2 1 2 2 3       1.000      3.756     -1.422
  1 2 1 2 2 1 1 1      10.000      6.367      1.440
  1 2 1 2 2 1 1 2       3.000      4.285     -0.621
  1 2 1 2 2 1 1 3       1.000      1.468     -0.386
  1 2 1 2 2 1 2 1       6.000      6.301     -0.120
  1 2 1 2 2 1 2 2       2.000      3.681     -0.876
  1 2 1 2 2 1 2 3       1.000      1.651     -0.506
  1 2 1 2 2 2 1 1       7.000      6.451      0.216
  1 2 1 2 2 2 1 2       3.000      3.981     -0.492
  1 2 1 2 2 2 1 3       1.000      1.825     -0.611
  1 2 1 2 2 2 2 1      11.000      8.152      0.997
  1 2 1 2 2 2 2 2       6.000      4.926      0.484
  1 2 1 2 2 2 2 3       3.000      3.079     -0.045
  1 2 2 1 1 1 1 1       0.000      0.336     -0.580
  1 2 2 1 1 1 1 2       1.000      0.536      0.633
  1 2 2 1 1 1 1 3       0.000      0.545     -0.738
  1 2 2 1 1 1 2 1       2.000      5.470     -1.484
  1 2 2 1 1 1 2 2      10.000     11.666     -0.488
  1 2 2 1 1 1 2 3      13.000     14.461     -0.384
  1 2 2 1 1 2 1 1       3.000      2.068      0.648
  1 2 2 1 1 2 1 2       2.000      2.496     -0.314
  1 2 2 1 1 2 1 3       2.000      3.421     -0.768
  1 2 2 1 1 2 2 1       8.000      7.452      0.201
  1 2 2 1 1 2 2 2      21.000     18.655      0.543
  1 2 2 1 1 2 2 3      47.000     31.445      2.774
  1 2 2 1 2 1 1 1       0.000      1.127     -1.062
  1 2 2 1 2 1 1 2       3.000      2.473      0.335
  1 2 2 1 2 1 1 3       1.000      2.493     -0.946
  1 2 2 1 2 1 2 1       1.000      3.338     -1.280
  1 2 2 1 2 1 2 2      11.000      8.187      0.983
  1 2 2 1 2 1 2 3      10.000     10.063     -0.020
  1 2 2 1 2 2 1 1       2.000      1.726      0.208
  1 2 2 1 2 2 1 2       1.000      3.174     -1.220
  1 2 2 1 2 2 1 3       5.000      4.279      0.348
  1 2 2 1 2 2 2 1       4.000      4.462     -0.219
  1 2 2 1 2 2 2 2      13.000     12.297      0.201
  1 2 2 1 2 2 2 3      17.000     20.605     -0.794
  1 2 2 2 1 1 1 1       1.000      1.267     -0.238
  1 2 2 2 1 1 1 2       1.000      0.775      0.255
  1 2 2 2 1 1 1 3       2.000      0.362      2.720
  1 2 2 2 1 1 2 1       9.000      9.041     -0.014
  1 2 2 2 1 1 2 2       7.000      5.956      0.428
  1 2 2 2 1 1 2 3       7.000      5.237      0.770
  1 2 2 2 1 2 1 1       3.000      5.147     -0.946
  1 2 2 2 1 2 1 2       3.000      1.930      0.770
  1 2 2 2 1 2 1 3       0.000      1.515     -1.231
  1 2 2 2 1 2 2 1       7.000     12.277     -1.506
  1 2 2 2 1 2 2 2      11.000      9.422      0.514
  1 2 2 2 1 2 2 3       8.000     11.339     -0.992
  1 2 2 2 2 1 1 1       1.000      5.423     -1.899
  1 2 2 2 2 1 1 2       4.000      4.103     -0.051
  1 2 2 2 2 1 1 3       0.000      1.841     -1.357
  1 2 2 2 2 1 2 1       3.000      5.955     -1.211
  1 2 2 2 2 1 2 2       7.000      5.128      0.827
  1 2 2 2 2 1 2 3       5.000      3.990      0.506
  1 2 2 2 2 2 1 1       1.000      5.649     -1.956
  1 2 2 2 2 2 1 2       9.000      4.044      2.465
  1 2 2 2 2 2 1 3       1.000      2.601     -0.993
  1 2 2 2 2 2 2 1       3.000      7.742     -1.704
  1 2 2 2 2 2 2 2       6.000      7.217     -0.453
  1 2 2 2 2 2 2 3       4.000      7.927     -1.395
  2 1 1 1 1 1 1 1       0.000      0.326     -0.571
  2 1 1 1 1 1 1 2       0.000      0.321     -0.566
  2 1 1 1 1 1 1 3       0.000      0.201     -0.448
  2 1 1 1 1 1 2 1       1.000      0.090      3.043
  2 1 1 1 1 1 2 2       0.000      0.211     -0.459
  2 1 1 1 1 1 2 3       1.000      0.184      1.900
  2 1 1 1 1 2 1 1       0.000      0.202     -0.450
  2 1 1 1 1 2 1 2       0.000      0.265     -0.515
  2 1 1 1 1 2 1 3       0.000      0.222     -0.471
  2 1 1 1 1 2 2 1       1.000      0.097      2.893
  2 1 1 1 1 2 2 2       0.000      0.245     -0.495
  2 1 1 1 1 2 2 3       0.000      0.298     -0.546
  2 1 1 1 2 1 1 1       1.000      1.889     -0.647
  2 1 1 1 2 1 1 2       3.000      1.867      0.829
  2 1 1 1 2 1 1 3       2.000      1.167      0.771
  2 1 1 1 2 1 2 1       0.000      0.327     -0.572
  2 1 1 1 2 1 2 2       0.000      1.011     -1.006
  2 1 1 1 2 1 2 3       2.000      0.834      1.276
  2 1 1 1 2 2 1 1       0.000      1.088     -1.043
  2 1 1 1 2 2 1 2       3.000      1.501      1.224
  2 1 1 1 2 2 1 3       0.000      1.240     -1.114
  2 1 1 1 2 2 2 1       0.000      0.301     -0.549
  2 1 1 1 2 2 2 2       0.000      1.077     -1.038
  2 1 1 1 2 2 2 3       1.000      1.213     -0.194
  2 1 1 2 1 1 1 1       2.000      2.236     -0.158
  2 1 1 2 1 1 1 2       1.000      1.547     -0.440
  2 1 1 2 1 1 1 3       0.000      0.530     -0.728
  2 1 1 2 1 1 2 1       0.000      0.521     -0.722
  2 1 1 2 1 1 2 2       0.000      0.717     -0.847
  2 1 1 2 1 1 2 3       0.000      0.288     -0.537
  2 1 1 2 1 2 1 1       2.000      1.369      0.539
  2 1 1 2 1 2 1 2       1.000      1.258     -0.230
  2 1 1 2 1 2 1 3       0.000      0.569     -0.754
  2 1 1 2 1 2 2 1       1.000      0.548      0.611
  2 1 1 2 1 2 2 2       0.000      0.789     -0.888
  2 1 1 2 1 2 2 3       1.000      0.436      0.855
  2 1 1 2 2 1 1 1      11.000     12.987     -0.551
  2 1 1 2 2 1 1 2       6.000      9.008     -1.002
  2 1 1 2 2 1 1 3       5.000      3.083      1.091
  2 1 1 2 2 1 2 1       2.000      2.111     -0.077
  2 1 1 2 2 1 2 2       4.000      3.850      0.076
  2 1 1 2 2 1 2 3       0.000      1.516     -1.231
  2 1 1 2 2 2 1 1      13.000      7.467      2.025
  2 1 1 2 2 2 1 2       7.000      7.229     -0.085
  2 1 1 2 2 2 1 3       4.000      3.267      0.406
  2 1 1 2 2 2 2 1       1.000      1.929     -0.669
  2 1 1 2 2 2 2 2       1.000      4.070     -1.522
  2 1 1 2 2 2 2 3       1.000      2.181     -0.800
  2 1 2 1 1 1 1 1       1.000      0.380      1.007
  2 1 2 1 1 1 1 2       1.000      0.875      0.133
  2 1 2 1 1 1 1 3       0.000      0.882     -0.939
  2 1 2 1 1 1 2 1       0.000      0.176     -0.419
  2 1 2 1 1 1 2 2       0.000      0.803     -0.896
  2 1 2 1 1 1 2 3       1.000      0.961      0.040
  2 1 2 1 1 2 1 1       1.000      0.252      1.488
  2 1 2 1 1 2 1 2       0.000      0.741     -0.861
  2 1 2 1 1 2 1 3       0.000      0.987     -0.993
  2 1 2 1 1 2 2 1       0.000      0.206     -0.454
  2 1 2 1 1 2 2 2       0.000      0.966     -0.983
  2 1 2 1 1 2 2 3       3.000      1.579      1.131
  2 1 2 1 2 1 1 1       1.000      2.195     -0.807
  2 1 2 1 2 1 1 2       5.000      5.087     -0.039
  2 1 2 1 2 1 1 3      10.000      5.123      2.154
  2 1 2 1 2 1 2 1       1.000      0.483      0.745
  2 1 2 1 2 1 2 2       0.000      3.540     -1.882
  2 1 2 1 2 1 2 3       5.000      4.189      0.397
  2 1 2 1 2 2 1 1       0.000      1.274     -1.129
  2 1 2 1 2 2 1 2       2.000      4.099     -1.037
  2 1 2 1 2 2 1 3       4.000      5.451     -0.621
  2 1 2 1 2 2 2 1       1.000      0.458      0.800
  2 1 2 1 2 2 2 2       4.000      3.795      0.105
  2 1 2 1 2 2 2 3       5.000      6.108     -0.448
  2 1 2 2 1 1 1 1       3.000      1.900      0.798
  2 1 2 2 1 1 1 2       2.000      1.477      0.430
  2 1 2 2 1 1 1 3       0.000      0.659     -0.812
  2 1 2 2 1 1 2 1       0.000      0.466     -0.683
  2 1 2 2 1 1 2 2       1.000      0.789      0.237
  2 1 2 2 1 1 2 3       0.000      0.486     -0.697
  2 1 2 2 1 2 1 1       2.000      1.169      0.769
  2 1 2 2 1 2 1 2       0.000      1.208     -1.099
  2 1 2 2 1 2 1 3       2.000      0.719      1.510
  2 1 2 2 1 2 2 1       0.000      0.495     -0.704
  2 1 2 2 1 2 2 2       0.000      0.890     -0.944
  2 1 2 2 1 2 2 3       0.000      0.768     -0.877
  2 1 2 2 2 1 1 1      10.000     11.034     -0.311
  2 1 2 2 2 1 1 2      17.000      8.596      2.866
  2 1 2 2 2 1 1 3       4.000      3.837      0.083
  2 1 2 2 2 1 2 1       0.000      1.827     -1.352
  2 1 2 2 2 1 2 2       3.000      4.035     -0.515
  2 1 2 2 2 1 2 3       1.000      2.328     -0.870
  2 1 2 2 2 2 1 1       5.000      6.347     -0.535
  2 1 2 2 2 2 1 2       7.000      6.903      0.037
  2 1 2 2 2 2 1 3       4.000      4.071     -0.035
  2 1 2 2 2 2 2 1       3.000      1.674      1.025
  2 1 2 2 2 2 2 2       5.000      4.280      0.348
  2 1 2 2 2 2 2 3       4.000      3.371      0.343
  2 2 1 1 1 1 1 1       0.000      0.408     -0.639
  2 2 1 1 1 1 1 2       0.000      0.377     -0.614
  2 2 1 1 1 1 1 3       0.000      0.240     -0.489
  2 2 1 1 1 1 2 1       3.000      1.159      1.710
  2 2 1 1 1 1 2 2       0.000      1.412     -1.188
  2 2 1 1 1 1 2 3       1.000      1.510     -0.415
  2 2 1 1 1 2 1 1       0.000      0.725     -0.852
  2 2 1 1 1 2 1 2       2.000      0.548      1.963
  2 2 1 1 1 2 1 3       0.000      0.535     -0.732
  2 2 1 1 1 2 2 1       4.000      1.554      1.961
  2 2 1 1 1 2 2 2       2.000      2.169     -0.115
  2 2 1 1 1 2 2 3       4.000      3.189      0.454
  2 2 1 1 2 1 1 1       1.000      2.161     -0.790
  2 2 1 1 2 1 1 2       3.000      2.121      0.604
  2 2 1 1 2 1 1 3       0.000      1.328     -1.152
  2 2 1 1 2 1 2 1       0.000      0.980     -0.990
  2 2 1 1 2 1 2 2       2.000      1.822      0.132
  2 2 1 1 2 1 2 3       1.000      1.695     -0.534
  2 2 1 1 2 2 1 1       1.000      1.518     -0.420
  2 2 1 1 2 2 1 2       1.000      1.841     -0.620
  2 2 1 1 2 2 1 3       3.000      1.567      1.144
  2 2 1 1 2 2 2 1       2.000      1.175      0.762
  2 2 1 1 2 2 2 2       0.000      2.311     -1.520
  2 2 1 1 2 2 2 3       2.000      3.019     -0.587
  2 2 1 2 1 1 1 1       2.000      2.754     -0.454
  2 2 1 2 1 1 1 2       1.000      1.782     -0.586
  2 2 1 2 1 1 1 3       0.000      0.611     -0.782
  2 2 1 2 1 1 2 1       7.000      5.613      0.585
  2 2 1 2 1 1 2 2       0.000      2.576     -1.605
  2 2 1 2 1 1 2 3       3.000      1.212      1.625
  2 2 1 2 1 2 1 1       6.000      4.320      0.808
  2 2 1 2 1 2 1 2       0.000      1.961     -1.401
  2 2 1 2 1 2 1 3       1.000      0.912      0.092
  2 2 1 2 1 2 2 1       8.000      7.478      0.191
  2 2 1 2 1 2 2 2       4.000      3.738      0.136
  2 2 1 2 1 2 2 3       1.000      2.434     -0.919
  2 2 1 2 2 1 1 1      13.000     14.825     -0.474
  2 2 1 2 2 1 1 2       7.000     10.212     -1.005
  2 2 1 2 2 1 1 3       1.000      3.496     -1.335
  2 2 1 2 2 1 2 1      10.000      5.289      2.049
  2 2 1 2 2 1 2 2       4.000      5.375     -0.593
  2 2 1 2 2 1 2 3       3.000      2.227      0.518
  2 2 1 2 2 2 1 1       9.000     10.049     -0.331
  2 2 1 2 2 2 1 2       8.000      8.491     -0.168
  2 2 1 2 2 2 1 3       6.000      3.851      1.095
  2 2 1 2 2 2 2 1       4.000      6.142     -0.864
  2 2 1 2 2 2 2 2       6.000      6.249     -0.099
  2 2 1 2 2 2 2 3       9.000      3.589      2.856
  2 2 2 1 1 1 1 1       0.000      0.515     -0.718
  2 2 2 1 1 1 1 2       1.000      1.058     -0.056
  2 2 2 1 1 1 1 3       0.000      1.068     -1.033
  2 2 2 1 1 1 2 1       3.000      3.144     -0.081
  2 2 2 1 1 1 2 2       4.000      7.078     -1.157
  2 2 2 1 1 1 2 3       6.000      8.745     -0.928
  2 2 2 1 1 2 1 1       4.000      1.351      2.279
  2 2 2 1 1 2 1 2       0.000      2.012     -1.418
  2 2 2 1 1 2 1 3       6.000      2.732      1.977
  2 2 2 1 1 2 2 1       6.000      4.253      0.847
  2 2 2 1 1 2 2 2       4.000     11.042     -2.119
  2 2 2 1 1 2 2 3      15.000     18.569     -0.828
  2 2 2 1 2 1 1 1       5.000      2.534      1.549
  2 2 2 1 2 1 1 2       7.000      5.795      0.500
  2 2 2 1 2 1 1 3       4.000      5.838     -0.761
  2 2 2 1 2 1 2 1       2.000      2.246     -0.164
  2 2 2 1 2 1 2 2       7.000      7.568     -0.206
  2 2 2 1 2 1 2 3       8.000      9.160     -0.383
  2 2 2 1 2 2 1 1       2.000      2.057     -0.039
  2 2 2 1 2 2 1 2       6.000      5.316      0.297
  2 2 2 1 2 2 1 3       9.000      7.101      0.713
  2 2 2 1 2 2 2 1       3.000      2.839      0.095
  2 2 2 1 2 2 2 2      15.000     10.037      1.567
  2 2 2 1 2 2 2 3      24.000     16.599      1.816
  2 2 2 2 1 1 1 1       6.000      2.353      2.378
  2 2 2 2 1 1 1 2       1.000      1.714     -0.545
  2 2 2 2 1 1 1 3       1.000      0.774      0.257
  2 2 2 2 1 1 2 1       3.000      5.350     -1.016
  2 2 2 2 1 1 2 2       4.000      3.945      0.028
  2 2 2 2 1 1 2 3       3.000      3.288     -0.159
  2 2 2 2 1 2 1 1       3.000      3.835     -0.426
  2 2 2 2 1 2 1 2       4.000      2.111      1.300
  2 2 2 2 1 2 1 3       4.000      1.457      2.108
  2 2 2 2 1 2 2 1       7.000      7.144     -0.054
  2 2 2 2 1 2 2 2       5.000      5.928     -0.381
  2 2 2 2 1 2 2 3       5.000      6.870     -0.713
  2 2 2 2 2 1 1 1      14.000     12.603      0.393
  2 2 2 2 2 1 1 2       8.000      9.752     -0.561
